Land,Water,Mixed,Plant,Animal,Magic,Ingredient,Vigour,Spirit,Soph,X Vig,+ Vig,X Spirit,+ Spirit,X Soph,+ Soph,Items,Land,Water,Mixed,Plant,Animal,Magic
1,0,0,1,0,0,Apple,6,4,5,0,9,0,0,0,0,0,0,0,1,0,1,0
1,0,0,1,0,0,Apple Wood,2,2,2,0,0,0,8,0,0,Erwin Wood,0,0,0,0,0,0
0,1,0,0,1,0,Biclopus,6,6,13,0,10,0,10,0,0,0,1,0,0,0,0,1
0,1,0,0,0,1,Boltuna,2,11,7,0,0,0,0,0,15,0,0,0,1,1,0,0
0,1,0,0,0,1,Boltuna,2,11,7,0,0,0,15,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,Breaded Erwin,18,2,10,0,0,0,0,0,28,Depths Crab,0,0,0,0,0,0
0,0,1,0,0,1,Breaded Erwin,18,2,10,0,28,0,0,0,0,0,0,0,1,0,1,0
0,0,1,0,0,1,Breaded Spider Leg,32,15,13,0,0,0,35,0,35,0,0,1,0,0,1,0
0,0,1,0,0,1,Breaded Spider Leg,32,15,13,4,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,Carrot,2,5,3,0,0,0,5,0,0,Empty,0,0,0,0,0,0
1,0,0,0,1,0,Cow Meat,11,6,3,0,0,0,18,0,0,0,1,0,0,1,0,0
0,1,0,0,1,0,Crab,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,Cucumber Squid,9,8,8,0,0,0,0,0,20,Empty,0,0,0,0,0,0
0,1,0,0,1,0,Depths Crab,19,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,Dragon Egg,34,25,21,0,40,0,40,0,0,Empty,0,0,0,0,0,0
1,0,0,0,0,1,Dragon Egg,34,25,21,0,80,0,0,0,60,0,0,1,0,0,0,1
1,0,0,0,0,1,Dragon Egg,34,25,21,4,0,0,0,3.6,0,0,0,1,0,0,1,0
0,1,0,0,1,0,Epic Blowfish,24,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,Erwin Wood,3,3,3,0,0,0,27,0,0,Empty,0,0,0,0,0,0
